person_id,identifier,scheme
uk.org.publicwhip/person/10098,180,historichansard_person_id
uk.org.publicwhip/person/10098,Q4885414,wikidata
uk.org.publicwhip/person/10099,Q5606816,wikidata
uk.org.publicwhip/person/10099,181,historichansard_person_id
uk.org.publicwhip/person/10100,182,historichansard_person_id
uk.org.publicwhip/person/10100,Q337843,wikidata
uk.org.publicwhip/person/10101,183,historichansard_person_id
uk.org.publicwhip/person/10101,50,datadotparl_id
uk.org.publicwhip/person/10101,4872,pims_id
uk.org.publicwhip/person/10101,Q336133,wikidata
uk.org.publicwhip/person/10102,184,historichansard_person_id
uk.org.publicwhip/person/10102,Q1886983,wikidata
uk.org.publicwhip/person/10103,Q271715,wikidata
uk.org.publicwhip/person/10103,2598,pims_id
uk.org.publicwhip/person/10103,185,historichansard_person_id
uk.org.publicwhip/person/10103,242,datadotparl_id
uk.org.publicwhip/person/10103,596,yournextmp
uk.org.publicwhip/person/10104,186,historichansard_person_id
uk.org.publicwhip/person/10104,Q6303339,wikidata
uk.org.publicwhip/person/10105,187,historichansard_person_id
uk.org.publicwhip/person/10105,Q5609276,wikidata
uk.org.publicwhip/person/10106,67,datadotparl_id
uk.org.publicwhip/person/10106,Q271750,wikidata
uk.org.publicwhip/person/10106,188,historichansard_person_id
uk.org.publicwhip/person/10107,78,historichansard_person_id
uk.org.publicwhip/person/10107,Q2894842,wikidata
uk.org.publicwhip/person/10108,189,historichansard_person_id
uk.org.publicwhip/person/10108,525,datadotparl_id
uk.org.publicwhip/person/10108,2614,pims_id
uk.org.publicwhip/person/10108,Q333397,wikidata
uk.org.publicwhip/person/10109,Q4940673,wikidata
uk.org.publicwhip/person/10109,148,historichansard_person_id
uk.org.publicwhip/person/10110,Q336111,wikidata
uk.org.publicwhip/person/10110,4896,pims_id
uk.org.publicwhip/person/10110,190,historichansard_person_id
uk.org.publicwhip/person/10110,599,datadotparl_id
uk.org.publicwhip/person/10111,191,historichansard_person_id
uk.org.publicwhip/person/10111,Q13529873,wikidata
uk.org.publicwhip/person/10112,192,historichansard_person_id
uk.org.publicwhip/person/10112,Q5609445,wikidata
uk.org.publicwhip/person/10113,193,historichansard_person_id
uk.org.publicwhip/person/10113,Q333758,wikidata
uk.org.publicwhip/person/10114,194,historichansard_person_id
uk.org.publicwhip/person/10114,Q2360589,wikidata
uk.org.publicwhip/person/10115,Q271889,wikidata
uk.org.publicwhip/person/10115,2625,pims_id
uk.org.publicwhip/person/10115,195,historichansard_person_id
uk.org.publicwhip/person/10115,366,datadotparl_id
uk.org.publicwhip/person/10115,3609,yournextmp
uk.org.publicwhip/person/10116,583,datadotparl_id
